epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.283,0.90862,2.23819,1.16513,0.67807,0.65569,0.66819,0.51048,0.83035,1.19001,1.07841,0.00333011,0.00333011,0.00333011
2,487.734,0.958,1.36524,1.1749,0.67696,0.69933,0.72525,0.54582,0.85752,0.99416,1.10627,0.00659748,0.00659748,0.00659748
3,705.768,1.09958,1.5625,1.26517,0.613,0.55853,0.58202,0.39141,1.08735,1.42402,1.28135,0.00979884,0.00979884,0.00979884
