epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9953.22,0.69445,0.51039,1.02813,0.94985,0.95087,0.97553,0.84478,0.58698,0.31346,0.92798,0.005842,0.005842,0.005842
44,10172.9,0.68573,0.51453,1.02416,0.94522,0.96569,0.97525,0.84785,0.58001,0.29581,0.92002,0.005743,0.005743,0.005743
45,10392.1,0.68601,0.50529,1.01856,0.93639,0.96431,0.97343,0.84659,0.58067,0.29663,0.91879,0.005644,0.005644,0.005644
46,10609,0.6832,0.50179,1.01687,0.95247,0.95419,0.97602,0.84818,0.57789,0.3013,0.91521,0.005545,0.005545,0.005545
47,10825.9,0.67826,0.49297,1.01348,0.96214,0.94687,0.97449,0.85331,0.56681,0.29187,0.91043,0.005446,0.005446,0.005446
48,11046.7,0.66823,0.48365,1.00701,0.96209,0.94816,0.97436,0.85252,0.5675,0.29457,0.90861,0.005347,0.005347,0.005347
49,11266.5,0.67765,0.48009,1.01461,0.95557,0.94817,0.97698,0.85242,0.56675,0.29471,0.91155,0.005248,0.005248,0.005248
50,11485.8,0.66764,0.48309,1.01282,0.95637,0.96323,0.97768,0.8623,0.56636,0.2891,0.9153,0.005149,0.005149,0.005149
51,11708.7,0.66717,0.47478,1.01176,0.97494,0.94566,0.98047,0.8604,0.5674,0.28855,0.91672,0.00505,0.00505,0.00505
52,11930,0.65625,0.46037,1.00228,0.96547,0.95018,0.97893,0.86193,0.56329,0.28424,0.91216,0.004951,0.004951,0.004951
53,12149.7,0.66151,0.4619,1.00556,0.95175,0.95609,0.97628,0.85696,0.56705,0.28658,0.91687,0.004852,0.004852,0.004852
54,12366.6,0.65438,0.45942,1.00568,0.95385,0.9735,0.98217,0.86423,0.56222,0.27757,0.909,0.004753,0.004753,0.004753
55,12583.8,0.65359,0.45722,1.00167,0.97458,0.964,0.98261,0.86231,0.56366,0.27593,0.90999,0.004654,0.004654,0.004654
56,12805,0.64518,0.45043,0.99699,0.96762,0.95444,0.98145,0.8639,0.55995,0.27893,0.90586,0.004555,0.004555,0.004555
57,13023.5,0.63763,0.44798,0.99604,0.98441,0.94813,0.98081,0.86493,0.56123,0.27622,0.91036,0.004456,0.004456,0.004456
58,13242,0.64118,0.44174,0.99685,0.96877,0.96297,0.98077,0.86829,0.55838,0.27474,0.90815,0.004357,0.004357,0.004357
59,13461.3,0.63588,0.43536,0.99466,0.97422,0.95298,0.97936,0.86702,0.55488,0.27282,0.90753,0.004258,0.004258,0.004258
60,13681,0.63333,0.43519,0.99345,0.97803,0.95048,0.98044,0.86826,0.55126,0.26896,0.90547,0.004159,0.004159,0.004159
61,13900.4,0.6273,0.42613,0.98489,0.96845,0.96416,0.98012,0.86763,0.55295,0.27143,0.90573,0.00406,0.00406,0.00406
62,14114.8,0.62349,0.42154,0.9867,0.97911,0.95299,0.98124,0.87048,0.54849,0.26973,0.90375,0.003961,0.003961,0.003961
63,14333.7,0.62442,0.41931,0.98647,0.97773,0.95494,0.98239,0.8702,0.54798,0.26908,0.89865,0.003862,0.003862,0.003862
64,14553,0.62111,0.41697,0.98367,0.97345,0.95883,0.98264,0.87144,0.5489,0.26578,0.90329,0.003763,0.003763,0.003763
65,14772,0.61318,0.41326,0.98209,0.98051,0.95674,0.98322,0.87234,0.54942,0.26022,0.89994,0.003664,0.003664,0.003664
66,14991.7,0.61399,0.40741,0.98235,0.9732,0.96095,0.98376,0.87333,0.54785,0.26138,0.9014,0.003565,0.003565,0.003565
67,15210.9,0.60634,0.39963,0.97424,0.97926,0.95902,0.98409,0.87528,0.54402,0.2583,0.89247,0.003466,0.003466,0.003466
68,15430.2,0.60445,0.39881,0.97476,0.97553,0.96003,0.98284,0.87356,0.54313,0.25729,0.89554,0.003367,0.003367,0.003367
69,15650.2,0.60181,0.39589,0.97742,0.98449,0.95381,0.98428,0.87383,0.54501,0.25658,0.90073,0.003268,0.003268,0.003268
70,15871.3,0.59904,0.389,0.97232,0.97554,0.96981,0.98453,0.87396,0.54501,0.25267,0.89881,0.003169,0.003169,0.003169
71,16091.9,0.59723,0.38725,0.97482,0.9862,0.95994,0.9844,0.87273,0.54385,0.24954,0.89503,0.00307,0.00307,0.00307
72,16312.6,0.59446,0.39017,0.9726,0.98402,0.96104,0.98448,0.8736,0.54207,0.24897,0.89568,0.002971,0.002971,0.002971
73,16533.3,0.58688,0.38243,0.96798,0.98348,0.95633,0.98389,0.87086,0.54584,0.251,0.90006,0.002872,0.002872,0.002872
74,16753.7,0.58313,0.37446,0.96555,0.98537,0.96264,0.98507,0.87521,0.54272,0.2493,0.89849,0.002773,0.002773,0.002773
75,17008.2,0.58699,0.3787,0.96462,0.98194,0.96023,0.98498,0.87624,0.54004,0.24749,0.89443,0.002674,0.002674,0.002674
76,17266.6,0.5825,0.37105,0.96263,0.97722,0.96422,0.98502,0.87588,0.53906,0.24712,0.8914,0.002575,0.002575,0.002575
77,17524.4,0.57656,0.36887,0.96376,0.97757,0.9682,0.98566,0.87681,0.54097,0.24486,0.89293,0.002476,0.002476,0.002476
78,17782.9,0.57688,0.36305,0.96443,0.9797,0.96784,0.98586,0.87891,0.54156,0.24191,0.89421,0.002377,0.002377,0.002377
79,18041.2,0.57061,0.36248,0.96188,0.98355,0.96617,0.98628,0.88003,0.5407,0.24004,0.89575,0.002278,0.002278,0.002278
